ts,symbol,side,dollars,filled_qty,price,order_id
2026-07-31T17:05:26.451469+00:00,STX,buy,50.75,0.058,874.9899,6a6cd552-e8f4-4aa4-b9b9-4c48ffc43830
2026-07-31T17:05:27.005255+00:00,LRCX,buy,49.6,0.163604,303.17,6a6cd588-6610-4c23-b9fe-44ff9a073da4
2026-07-31T17:05:27.595735+00:00,WDC,buy,43.89,0.07922,554.0246,6a6cd58f-286a-474b-a0f2-eec3f178e27d
2026-07-31T17:05:27.989627+00:00,INTC,buy,38.09,0.412944,92.2399,6a6cd597-1d2a-4646-b114-31aec597130d
2026-07-31T17:05:28.355971+00:00,MU,buy,35.84,0.042777,837.8199,6a6cd59f-7dee-43e1-b693-f8c8ea00464b
2026-07-31T17:05:28.745943+00:00,SNDK,buy,31.83,0.025628,1241.9999,6a6cd5a6-0d08-480d-b6fd-3cf6807e1187
2026-08-04T19:36:16.415874+00:00,STX,sell,47.94,0.058,826.51,6a70eef9-6f2c-490d-8426-a802b06247f7-EXTERNAL-UNEXPLAINED
2026-08-05T04:26:14.234691+00:00,INTC,sell,41.58,0.412944,100.7101,6a72404d-131f-4154-925a-df9192fce1a5-ROGUE-EOD
2026-08-05T04:26:15.016370+00:00,SNDK,sell,36.49,0.025628,1423.86,6a72404f-afce-4c4b-89f0-5b82154a133e-ROGUE-EOD
2026-08-05T19:38:29.037708+00:00,STX,buy,51.05,0.06005,850.1199,6a739110-a8d2-4035-9266-688df0f5f190
2026-08-05T19:38:29.723928+00:00,INTC,buy,38.31,0.373392,102.5999,6a739119-9ad2-42ba-af55-8232d0ba6555
2026-08-05T19:38:30.385432+00:00,SNDK,buy,32.02,0.023001,1392.06,6a739122-8541-42dc-8231-9feff4686d4f
