settled_at,adapter,ticker,metal,side,count,fill_price,fee,fair_at_entry,result,pnl,tag,cash_after
2026-09-10T18:01:01Z,maker,KXGOLD15M-26SEP101400-00,gold,no,22,0.62,0.0,0.3384,no,8.36,maker,508.36
2026-09-10T18:31:00Z,maker,KXGOLD15M-26SEP101430-30,gold,no,30,0.84,0.0,0.1182,no,4.8,maker,513.16
2026-09-10T19:01:00Z,maker,KXGOLD15M-26SEP101500-00,gold,no,23,0.61,0.0,0.3471,no,8.97,maker,504.15
2026-09-10T19:01:00Z,maker,KXSILVER15M-26SEP101500-00,silver,yes,29,0.62,0.0,0.6758,yes,11.02,maker,533.15
2026-09-10T19:16:02Z,maker,KXSILVER15M-26SEP101515-15,silver,no,30,0.87,0.0,0.0789,no,3.9,maker,537.05
2026-09-10T20:16:01Z,maker,KXSILVER15M-26SEP101615-15,silver,no,31,0.85,0.0,0.1081,no,4.65,maker,516.74
2026-09-10T20:16:01Z,maker,KXGOLD15M-26SEP101615-15,gold,no,32,0.78,0.0,0.1313,no,7.04,maker,548.74
2026-09-10T20:16:02Z,shadow,KXGOLD15M-26SEP101615-15,gold,no,31,0.79,0.37,0.1154,no,6.14,mixed,506.14
2026-09-10T20:31:00Z,maker,KXSILVER15M-26SEP101630-30,silver,no,29,0.69,0.0,0.2643,no,8.99,maker,540.73
2026-09-10T20:31:00Z,maker,KXGOLD15M-26SEP101630-30,gold,no,25,0.68,0.0,0.2776,no,8.0,maker,565.73
2026-09-10T20:31:00Z,shadow,KXGOLD15M-26SEP101630-30,gold,no,28,0.88,0.21,0.0376,no,3.15,mixed,509.29
2026-09-10T20:46:00Z,maker,KXGOLD15M-26SEP101645-45,gold,no,24,0.61,0.0,0.3484,no,9.36,maker,561.06
2026-09-10T20:46:00Z,shadow,KXGOLD15M-26SEP101645-45,gold,no,35,0.72,0.5,0.1891,no,9.3,stale,518.59
2026-09-10T20:46:00Z,maker,KXSILVER15M-26SEP101645-45,silver,no,23,0.61,0.0,0.3492,yes,-14.03,maker,561.06
2026-09-10T21:01:01Z,shadow,KXSILVER15M-26SEP101700-00,silver,no,35,0.73,0.49,0.1784,no,8.96,mixed,527.55
2026-09-10T21:01:01Z,maker,KXGOLD15M-26SEP101700-00,gold,no,38,0.72,0.0,0.1759,no,10.64,maker,551.55
2026-09-10T21:01:01Z,maker,KXSILVER15M-26SEP101700-00,silver,no,31,0.65,0.0,0.2959,no,10.85,maker,582.55
2026-09-10T21:31:01Z,maker,KXGOLD15M-26SEP101730-30,gold,no,54,0.53,0.0,0.0,no,25.38,maker,579.05
2026-09-10T21:31:01Z,shadow,KXGOLD15M-26SEP101730-30,gold,no,43,0.6,0.73,0.0,no,16.47,flow,544.02
2026-09-10T21:31:01Z,maker,KXSILVER15M-26SEP101730-30,silver,no,76,0.38,0.0,0.3318,yes,-28.88,maker,579.05
2026-09-10T21:46:01Z,maker,KXGOLD15M-26SEP101745-45,gold,no,34,0.84,0.0,0.02,no,5.44,maker,557.13
2026-09-10T21:46:01Z,shadow,KXGOLD15M-26SEP101745-45,gold,no,34,0.79,0.4,0.02,no,6.74,mixed,550.76
2026-09-10T21:46:01Z,maker,KXSILVER15M-26SEP101745-45,silver,no,72,0.38,0.0,0.1638,no,44.64,maker,629.13
2026-09-10T22:01:01Z,maker,KXGOLD15M-26SEP101800-00,gold,no,87,0.36,0.0,0.02,yes,-31.32,maker,568.23
2026-09-10T22:01:01Z,shadow,KXSILVER15M-26SEP101800-00,silver,no,51,0.53,0.89,0.3585,yes,-27.92,mixed,522.84
2026-09-10T22:01:02Z,maker,KXSILVER15M-26SEP101800-00,silver,no,58,0.51,0.0,0.3585,yes,-29.58,maker,568.23
2026-09-10T22:16:02Z,maker,KXSILVER15M-26SEP101815-15,silver,no,52,0.54,0.0,0.0797,no,23.92,maker,592.15
2026-09-10T22:16:02Z,shadow,KXSILVER15M-26SEP101815-15,silver,no,43,0.6,0.73,0.0652,no,16.47,mixed,539.31
2026-09-10T22:31:02Z,maker,KXSILVER15M-26SEP101830-30,silver,yes,28,0.52,0.0,0.5681,yes,13.44,maker,605.59
2026-09-10T22:31:02Z,shadow,KXSILVER15M-26SEP101830-30,silver,yes,41,0.57,0.71,0.6619,yes,16.92,mixed,556.23
2026-09-10T22:46:00Z,maker,KXSILVER15M-26SEP101845-45,silver,no,39,0.76,0.0,0.1695,no,9.36,maker,614.95
2026-09-10T23:16:00Z,maker,KXGOLD15M-26SEP101915-15,gold,yes,28,0.62,0.0,0.663,yes,10.64,maker,625.59
2026-09-10T23:31:00Z,maker,KXGOLD15M-26SEP101930-30,gold,yes,35,0.57,0.0,0.6253,no,-19.95,maker,605.64
2026-09-10T23:31:00Z,shadow,KXGOLD15M-26SEP101930-30,gold,no,44,0.62,0.73,0.2451,no,15.99,mixed,572.22
2026-09-10T23:46:00Z,maker,KXGOLD15M-26SEP101945-45,gold,yes,43,0.7,0.0,0.7685,no,-30.1,maker,554.95
2026-09-10T23:46:00Z,maker,KXSILVER15M-26SEP101945-45,silver,no,29,0.71,0.0,0.2483,no,8.41,maker,583.95
2026-09-10T23:46:00Z,shadow,KXGOLD15M-26SEP101945-45,gold,no,32,0.87,0.26,0.0425,no,3.9,mixed,576.12
2026-09-11T00:01:00Z,maker,KXGOLD15M-26SEP102000-00,gold,no,34,0.66,0.0,0.2865,no,11.56,maker,578.11
2026-09-11T00:01:00Z,maker,KXSILVER15M-26SEP102000-00,silver,yes,29,0.6,0.0,0.6503,no,-17.4,maker,578.11
