settled_at,adapter,ticker,metal,side,count,fill_price,fee,fair_at_entry,result,pnl,tag,cash_after
2026-09-12T13:31:01Z,shadow,KXETH15M-26SEP120930-30,eth,no,16,0.6,0.27,0.4,yes,-9.87,poly_book,230.78
2026-09-12T13:31:01Z,shadow,KXBTC15M-26SEP120930-30,btc,no,11,0.84,0.11,0.16,no,1.65,poly_book,241.78
2026-09-12T13:46:01Z,shadow,KXETH15M-26SEP120945-45,eth,no,15,0.62,0.25,0.38,no,5.45,poly_book,238.45
2026-09-12T13:46:01Z,shadow,KXBTC15M-26SEP120945-45,btc,no,14,0.61,0.24,0.39,no,5.22,poly_book,252.45
2026-09-12T14:01:01Z,shadow,KXETH15M-26SEP121000-00,eth,no,16,0.61,0.27,0.39,yes,-10.03,poly_book,232.87
2026-09-12T14:01:01Z,shadow,KXBTC15M-26SEP121000-00,btc,no,15,0.62,0.25,0.38,yes,-9.55,poly_book,232.87
2026-09-12T14:16:00Z,shadow,KXETH15M-26SEP121015-15,eth,no,14,0.64,0.23,0.36,no,4.81,poly_book,229.15
2026-09-12T14:16:01Z,shadow,KXBTC15M-26SEP121015-15,btc,yes,13,0.64,0.21,0.64,yes,4.47,poly_book,242.15
2026-09-12T14:31:01Z,shadow,KXBTC15M-26SEP121030-30,btc,yes,15,0.6,0.26,0.6,yes,5.74,poly_book,238.97
2026-09-12T14:31:01Z,shadow,KXETH15M-26SEP121030-30,eth,yes,13,0.67,0.21,0.67,yes,4.08,poly_book,251.97
2026-09-12T14:46:00Z,shadow,KXBTC15M-26SEP121045-45,btc,yes,16,0.61,0.27,0.61,yes,5.97,poly_book,248.54
2026-09-12T14:46:00Z,shadow,KXETH15M-26SEP121045-45,eth,yes,15,0.61,0.25,0.61,no,-9.4,poly_book,248.54
2026-09-12T15:01:00Z,shadow,KXETH15M-26SEP121100-00,eth,no,14,0.66,0.22,0.34,no,4.54,poly_book,243.68
2026-09-12T15:01:00Z,shadow,KXBTC15M-26SEP121100-00,btc,yes,15,0.61,0.25,0.61,no,-9.4,poly_book,243.68
2026-09-12T15:16:01Z,shadow,KXETH15M-26SEP121115-15,eth,yes,15,0.61,0.25,0.61,no,-9.4,poly_book,224.95
2026-09-12T15:16:01Z,shadow,KXBTC15M-26SEP121115-15,btc,no,14,0.65,0.23,0.35,no,4.67,poly_book,238.95
2026-09-12T15:31:00Z,shadow,KXETH15M-26SEP121130-30,eth,yes,15,0.6,0.26,0.6,yes,5.74,poly_book,235.77
2026-09-12T15:31:01Z,shadow,KXBTC15M-26SEP121130-30,btc,yes,13,0.67,0.21,0.67,yes,4.08,poly_book,248.77
2026-09-12T15:46:00Z,shadow,KXBTC15M-26SEP121145-45,btc,no,13,0.73,0.18,0.27,no,3.33,poly_book,242.94
2026-09-12T15:46:00Z,shadow,KXETH15M-26SEP121145-45,eth,no,12,0.75,0.16,0.25,no,2.84,poly_book,254.94
2026-09-12T16:01:01Z,shadow,KXBTC15M-26SEP121200-00,btc,yes,15,0.65,0.24,0.65,no,-9.99,poly_book,235.78
2026-09-12T16:01:01Z,shadow,KXETH15M-26SEP121200-00,eth,no,13,0.69,0.2,0.31,no,3.83,poly_book,248.78
2026-09-12T16:16:00Z,shadow,KXETH15M-26SEP121215-15,eth,yes,15,0.62,0.25,0.62,no,-9.55,poly_book,230.18
2026-09-12T16:16:01Z,shadow,KXBTC15M-26SEP121215-15,btc,yes,14,0.63,0.23,0.63,no,-9.05,poly_book,230.18
2026-09-12T16:31:00Z,shadow,KXBTC15M-26SEP121230-30,btc,yes,14,0.63,0.23,0.63,yes,4.95,poly_book,226.85
2026-09-12T16:31:00Z,shadow,KXETH15M-26SEP121230-30,eth,no,13,0.62,0.22,0.38,no,4.72,poly_book,239.85
2026-09-12T16:46:01Z,shadow,KXETH15M-26SEP121245-45,eth,yes,15,0.6,0.26,0.6,no,-9.26,poly_book,221.93
2026-09-12T16:46:01Z,shadow,KXBTC15M-26SEP121245-45,btc,no,13,0.65,0.21,0.35,no,4.34,poly_book,234.93
2026-09-12T17:01:02Z,shadow,KXETH15M-26SEP121300-00,eth,no,14,0.63,0.23,0.37,yes,-9.05,poly_book,217.42
2026-09-12T17:01:02Z,shadow,KXBTC15M-26SEP121300-00,btc,no,12,0.69,0.18,0.31,no,3.54,poly_book,229.42
2026-09-12T17:16:00Z,shadow,KXETH15M-26SEP121315-15,eth,yes,13,0.64,0.21,0.64,yes,4.47,poly_book,225.61
2026-09-12T17:16:00Z,shadow,KXBTC15M-26SEP121315-15,btc,yes,13,0.62,0.22,0.62,no,-8.28,poly_book,225.61
2026-09-12T17:31:00Z,shadow,KXETH15M-26SEP121330-30,eth,yes,13,0.63,0.22,0.63,no,-8.41,poly_book,208.67
2026-09-12T17:31:00Z,shadow,KXBTC15M-26SEP121330-30,btc,no,13,0.64,0.21,0.36,no,4.47,poly_book,221.67
2026-09-13T00:16:00Z,shadow,KXBTC15M-26SEP122015-15,btc,no,13,0.63,0.22,0.37,no,4.59,poly_book,218.26
2026-09-13T00:16:00Z,shadow,KXETH15M-26SEP122015-15,eth,no,12,0.65,0.2,0.35,no,4.0,poly_book,230.26
2026-09-13T00:31:00Z,shadow,KXETH15M-26SEP122030-30,eth,yes,13,0.65,0.21,0.65,yes,4.34,poly_book,225.82
2026-09-13T00:31:00Z,shadow,KXBTC15M-26SEP122030-30,btc,no,14,0.61,0.24,0.39,no,5.22,poly_book,239.82
2026-09-13T00:46:00Z,shadow,KXETH15M-26SEP122045-45,eth,yes,14,0.64,0.23,0.64,no,-9.19,poly_book,221.99
2026-09-13T00:46:00Z,shadow,KXBTC15M-26SEP122045-45,btc,no,14,0.6,0.24,0.4,no,5.36,poly_book,235.99
2026-09-13T01:01:01Z,shadow,KXBTC15M-26SEP122100-00,btc,yes,15,0.61,0.25,0.61,yes,5.6,poly_book,232.67
2026-09-13T01:01:01Z,shadow,KXETH15M-26SEP122100-00,eth,yes,14,0.62,0.24,0.62,yes,5.08,poly_book,246.67
2026-09-13T01:31:00Z,shadow,KXETH15M-26SEP122130-30,eth,no,15,0.6,0.26,0.4,yes,-9.26,poly_book,224.22
2026-09-13T01:31:00Z,shadow,KXBTC15M-26SEP122130-30,btc,yes,14,0.64,0.23,0.64,no,-9.19,poly_book,224.22
2026-09-13T01:46:00Z,shadow,KXETH15M-26SEP122145-45,eth,no,14,0.61,0.24,0.39,yes,-8.78,poly_book,207.42
2026-09-13T01:46:00Z,shadow,KXBTC15M-26SEP122145-45,btc,no,13,0.6,0.22,0.4,yes,-8.02,poly_book,207.42
2026-09-13T02:01:00Z,shadow,KXETH15M-26SEP122200-00,eth,yes,13,0.61,0.22,0.61,yes,4.85,poly_book,204.75
2026-09-13T02:01:00Z,shadow,KXBTC15M-26SEP122200-00,btc,yes,12,0.61,0.2,0.61,yes,4.48,poly_book,216.75
2026-09-13T02:16:01Z,shadow,KXETH15M-26SEP122215-15,eth,no,13,0.65,0.21,0.35,no,4.34,poly_book,212.94
2026-09-13T02:16:01Z,shadow,KXBTC15M-26SEP122215-15,btc,no,13,0.61,0.22,0.39,no,4.85,poly_book,225.94
2026-09-13T02:31:01Z,shadow,KXBTC15M-26SEP122230-30,btc,yes,13,0.63,0.22,0.63,no,-8.41,poly_book,208.89
2026-09-13T02:31:01Z,shadow,KXETH15M-26SEP122230-30,eth,no,14,0.6,0.24,0.4,no,5.36,poly_book,222.89
2026-09-13T02:46:01Z,shadow,KXETH15M-26SEP122245-45,eth,no,13,0.63,0.22,0.37,no,4.59,poly_book,219.07
2026-09-13T02:46:01Z,shadow,KXBTC15M-26SEP122245-45,btc,yes,13,0.63,0.22,0.63,yes,4.59,poly_book,232.07
2026-09-13T03:01:01Z,shadow,KXBTC15M-26SEP122300-00,btc,yes,13,0.66,0.21,0.66,yes,4.21,poly_book,227.58
2026-09-13T03:01:01Z,shadow,KXETH15M-26SEP122300-00,eth,yes,12,0.71,0.18,0.71,no,-8.7,poly_book,227.58
2026-09-13T03:16:00Z,shadow,KXBTC15M-26SEP122315-15,btc,no,14,0.62,0.24,0.38,no,5.08,poly_book,224.55
2026-09-13T03:16:00Z,shadow,KXETH15M-26SEP122315-15,eth,no,12,0.66,0.19,0.34,no,3.89,poly_book,236.55
2026-09-13T03:31:26Z,shadow,KXETH15M-26SEP122330-30,eth,no,15,0.61,0.25,0.39,no,5.6,poly_book,242.15
2026-09-13T03:46:00Z,shadow,KXETH15M-26SEP122345-45,eth,no,14,0.63,0.23,0.37,yes,-9.05,poly_book,223.91
2026-09-13T03:46:00Z,shadow,KXBTC15M-26SEP122345-45,btc,no,14,0.64,0.23,0.36,no,4.81,poly_book,237.91
2026-09-13T04:01:00Z,shadow,KXBTC15M-26SEP130000-00,btc,yes,15,0.6,0.26,0.6,no,-9.26,poly_book,220.19
2026-09-13T04:01:00Z,shadow,KXETH15M-26SEP130000-00,eth,yes,12,0.69,0.18,0.69,no,-8.46,poly_book,220.19
2026-09-13T04:16:01Z,shadow,KXBTC15M-26SEP130015-15,btc,yes,13,0.63,0.22,0.63,yes,4.59,poly_book,216.81
2026-09-13T04:16:01Z,shadow,KXETH15M-26SEP130015-15,eth,yes,11,0.71,0.16,0.71,yes,3.03,poly_book,227.81
2026-09-13T04:31:00Z,shadow,KXBTC15M-26SEP130030-30,btc,yes,13,0.65,0.21,0.65,yes,4.34,poly_book,223.45
2026-09-13T04:31:00Z,shadow,KXETH15M-26SEP130030-30,eth,yes,12,0.71,0.18,0.71,yes,3.3,poly_book,235.45
2026-09-13T04:46:00Z,shadow,KXETH15M-26SEP130045-45,eth,no,14,0.65,0.23,0.35,no,4.67,poly_book,231.34
2026-09-13T04:46:00Z,shadow,KXBTC15M-26SEP130045-45,btc,no,14,0.61,0.24,0.39,no,5.22,poly_book,245.34
2026-09-13T05:01:00Z,shadow,KXBTC15M-26SEP130100-00,btc,yes,15,0.6,0.26,0.6,no,-9.26,poly_book,227.39
2026-09-13T05:01:00Z,shadow,KXETH15M-26SEP130100-00,eth,yes,10,0.86,0.09,0.86,yes,1.31,poly_book,237.39
2026-09-13T05:16:00Z,shadow,KXETH15M-26SEP130115-15,eth,yes,15,0.6,0.26,0.6,yes,5.74,poly_book,234.08
2026-09-13T05:16:00Z,shadow,KXBTC15M-26SEP130115-15,btc,yes,14,0.63,0.23,0.63,yes,4.95,poly_book,248.08
2026-09-13T05:31:00Z,shadow,KXBTC15M-26SEP130130-30,btc,yes,14,0.69,0.21,0.69,yes,4.13,poly_book,243.16
2026-09-13T05:31:00Z,shadow,KXETH15M-26SEP130130-30,eth,yes,14,0.63,0.23,0.63,yes,4.95,poly_book,257.16
2026-09-13T05:46:45Z,shadow,KXBTC15M-26SEP130145-45,btc,yes,15,0.64,0.25,0.64,yes,5.15,poly_book,252.76
2026-09-13T05:46:45Z,shadow,KXETH15M-26SEP130145-45,eth,yes,15,0.62,0.25,0.62,yes,5.45,poly_book,267.76
2026-09-13T06:01:01Z,shadow,KXBTC15M-26SEP130200-00,btc,yes,16,0.64,0.26,0.64,yes,5.5,poly_book,263.56
2026-09-13T06:01:01Z,shadow,KXETH15M-26SEP130200-00,eth,yes,15,0.63,0.25,0.63,no,-9.7,poly_book,263.56
2026-09-13T06:16:00Z,shadow,KXETH15M-26SEP130215-15,eth,no,16,0.63,0.27,0.37,no,5.65,poly_book,259.22
2026-09-13T06:16:00Z,shadow,KXBTC15M-26SEP130215-15,btc,no,15,0.65,0.24,0.35,no,5.01,poly_book,274.22
2026-09-13T06:31:00Z,shadow,KXBTC15M-26SEP130230-30,btc,no,15,0.68,0.23,0.32,no,4.57,poly_book,268.49
2026-09-13T06:31:00Z,shadow,KXETH15M-26SEP130230-30,eth,no,13,0.78,0.16,0.22,no,2.7,poly_book,281.49
2026-09-13T06:46:00Z,shadow,KXETH15M-26SEP130245-45,eth,no,14,0.74,0.19,0.26,no,3.45,poly_book,274.11
2026-09-13T06:46:00Z,shadow,KXBTC15M-26SEP130245-45,btc,no,17,0.62,0.29,0.38,yes,-10.83,poly_book,274.11
2026-09-13T07:01:00Z,shadow,KXBTC15M-26SEP130300-00,btc,no,13,0.78,0.16,0.22,no,2.7,poly_book,266.63
2026-09-13T07:01:00Z,shadow,KXETH15M-26SEP130300-00,eth,no,13,0.77,0.17,0.23,no,2.82,poly_book,279.63
2026-09-13T07:16:02Z,shadow,KXBTC15M-26SEP130315-15,btc,yes,15,0.72,0.22,0.72,yes,3.98,poly_book,273.33
2026-09-13T07:16:02Z,shadow,KXETH15M-26SEP130315-15,eth,yes,14,0.72,0.2,0.72,yes,3.72,poly_book,287.33
2026-09-13T07:31:01Z,shadow,KXETH15M-26SEP130330-30,eth,yes,18,0.6,0.31,0.6,yes,6.89,poly_book,283.23
2026-09-13T07:31:01Z,shadow,KXBTC15M-26SEP130330-30,btc,yes,17,0.63,0.28,0.63,no,-10.99,poly_book,283.23
2026-09-13T07:46:00Z,shadow,KXBTC15M-26SEP130345-45,btc,no,17,0.63,0.28,0.37,yes,-10.99,poly_book,261.95
2026-09-13T07:46:00Z,shadow,KXETH15M-26SEP130345-45,eth,no,15,0.67,0.24,0.33,yes,-10.29,poly_book,261.95
2026-09-13T08:01:00Z,shadow,KXETH15M-26SEP130400-00,eth,yes,16,0.6,0.27,0.6,no,-9.87,poly_book,242.53
2026-09-13T08:01:00Z,shadow,KXBTC15M-26SEP130400-00,btc,no,15,0.62,0.25,0.38,no,5.45,poly_book,257.53
2026-09-13T08:16:00Z,shadow,KXETH15M-26SEP130415-15,eth,no,15,0.64,0.25,0.36,no,5.15,poly_book,253.28
2026-09-13T08:16:00Z,shadow,KXBTC15M-26SEP130415-15,btc,yes,15,0.61,0.25,0.61,no,-9.4,poly_book,253.28
2026-09-13T08:31:00Z,shadow,KXETH15M-26SEP130430-30,eth,no,15,0.63,0.25,0.37,no,5.3,poly_book,249.25
2026-09-13T08:31:00Z,shadow,KXBTC15M-26SEP130430-30,btc,no,14,0.65,0.23,0.35,no,4.67,poly_book,263.25
2026-09-13T08:46:02Z,shadow,KXBTC15M-26SEP130445-45,btc,no,14,0.7,0.21,0.3,no,3.99,poly_book,257.82
2026-09-13T08:46:02Z,shadow,KXETH15M-26SEP130445-45,eth,no,13,0.71,0.19,0.29,no,3.58,poly_book,270.82
